#Kegg,enzyme
K01601,ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]
K01602,ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]
K00927,phosphoglycerate kinase [EC:2.7.2.3]
K00134,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K05298,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
K00150,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K01623,fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K11645,fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K01624,fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K03841,fructose-1,6-bisphosphatase I [EC:3.1.3.11]
K02446,fructose-1,6-bisphosphatase II [EC:3.1.3.11]
K11532,fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.37 3.1.3.11]
K01086,fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.37 3.1.3.11]
K04041,fructose-1,6-bisphosphatase III [EC:3.1.3.11]
K00615,transketolase [EC:2.2.1.1]
K01100,sedoheptulose-bisphosphatase [EC:3.1.3.37]
K01807,ribose 5-phosphate isomerase A [EC:5.3.1.6]
K01808,ribose 5-phosphate isomerase B [EC:5.3.1.6]
K00855,phosphoribulokinase [EC:2.7.1.19]
K01803,triosephosphate isomerase (TIM) [EC:5.3.1.1]
K01621,xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.22 4.1.2.9]
K01783,ribulose-phosphate 3-epimerase [EC:5.1.3.1]
K11214,sedoheptulokinase [EC:2.7.1.14]
K01595,phosphoenolpyruvate carboxylase [EC:4.1.1.31]
K14454,aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]
K01610,phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
K00814,alanine transaminase [EC:2.6.1.2]
K14272,glutamate--glyoxylate aminotransferase [EC:2.6.1.44 2.6.1.2 2.6.1.4]
K01006,pyruvate, orthophosphate dikinase [EC:2.7.9.1]
K00029,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00051,malate dehydrogenase (NADP+) [EC:1.1.1.82]
K14455,aspartate aminotransferase, mitochondrial [EC:2.6.1.1]
K00025,malate dehydrogenase [EC:1.1.1.37]
K00026,malate dehydrogenase [EC:1.1.1.37]
K00024,malate dehydrogenase [EC:1.1.1.37]
K00028,malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
