#Kegg,enzyme
K02092,allophycocyanin alpha subunit
K02093,allophycocyanin beta subunit
K02094,phycobilisome core linker protein
K02095,allophycocyanin-B
K02096,phycobilisome core-membrane linker protein
K02097,phycobilisome core component
K02284,phycocyanin alpha chain
K02285,phycocyanin beta chain
K02286,phycocyanin-associated rod linker protein
K02287,phycocyanin-associated, rod
K02288,phycocyanobilin lyase subunit alpha [EC:4.4.1.32]
K02289,phycocyanobilin lyase subunit beta [EC:4.4.1.32]
K20713,R-phycocyanin alpha-cysteine-84 phycourobilin lyase/isomerase [EC:4.4.1.33]
K02290,phycobilisome rod-core linker protein
K02628,phycoerythrocyanin alpha chain
K02629,phycoerythrocyanin beta chain
K02630,phycoerythrocyanin-associated rod linker protein
K02631,phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]
K02632,phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecF [EC:4.4.1.31]
K05376,phycoerythrin alpha chain
K05377,phycoerythrin beta chain
K05378,phycoerythrin-associated linker protein
K05379,phycoerythrin-associated linker protein
K05380,phycoerythrin-associated linker protein
K05381,phycoerythrin-associated linker protein
K05382,phycoerythrin-associated linker protein
K05383,CpeT protein
K05384,bilin biosynthesis protein
K05385,bilin biosynthesis protein
K05386,bilin biosynthesis protein
K08907,light-harvesting complex I chlorophyll a/b binding protein 1
K08908,light-harvesting complex I chlorophyll a/b binding protein 2
K08909,light-harvesting complex I chlorophyll a/b binding protein 3
K08910,light-harvesting complex I chlorophyll a/b binding protein 4
K08911,light-harvesting complex I chlorophyll a/b binding protein 5
K08912,light-harvesting complex II chlorophyll a/b binding protein 1
K08913,light-harvesting complex II chlorophyll a/b binding protein 2
K08914,light-harvesting complex II chlorophyll a/b binding protein 3
K08915,light-harvesting complex II chlorophyll a/b binding protein 4
K08916,light-harvesting complex II chlorophyll a/b binding protein 5
K08917,light-harvesting complex II chlorophyll a/b binding protein 6
K14172,light-harvesting complex II chlorophyll a/b binding protein 7
