##	Easy assoc.
##	A	--------------
##	P	--------------
##	B	--------------
##	ag	ach	pg 	pch	n
#	a10000 	ac1	p20000	pc1	5
##	agene	astart	astop	apid	pgene	pstart	pstop	ppid
a1.b	1	200	90.0	p1	20	200	90.0
a2.b	300	3000	91.0	p2	300	3000	91.0
a3.b	5000	6000	93.0	p3	5000	6000	93.0
a4.b	7000	9000	90.0	p4	7000	9000	90.0
a5.b	10000	14000	92.0	p5	10000	14000	92.0
#	a10000	ac2	p20000	pc1	5
##	agene	astart	astop	apid	 pgene	pstart	pstop	ppid
a1.a	1	200	91.0	p1	20	200	91.0
a2.a	300	3000	92.0	p23	300	3000	92.0
a3.a	5000	6000	94.0	p3	5000	6000	93.0
a4.a	7000	9000	91.0	p4	7000	9000	91.0
a5.a	10000	14000	93.0	p5	10000	14000	93.0
##	Loop
##	A	---------------------
##	a	        --------     
##	P	---------------------
##	B	---------------------
#	a10000 	Ac3	p20000	Pc2	5
##	agene	astart	astop	apid	pgene	pstart	pstop	ppid
a10.a	1	200	95.0	p10	20	200	95.0
a20.a	300	3000	96.0	p20	300	3000	96.0
a30.a	5000	6000	97.0	p30	5000	6000	97.0
a40.a	7000	9000	95.0	p40	7000	9000	95.0
a50.a	10000	14000	97.0	p50	10000	14000	97.0
#	a10000 	ac3	p20000	Pc2	5
##	agene	astart	astop	apid	pgene	pstart	pstop	ppid
a10.ap	1	200	85.0	p10	20	200	85.0
a20.ap	300	3000	86.0	p20	300	3000	86.0
a30.ap	5000	6000	87.0	p30	5000	6000	87.0
a40.ap	7000	9000	85.0	p40	7000	9000	85.0
a50.ap	10000	14000	87.0	p50	10000	14000	87.0
